tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt_v1,awarded_amt,main_category,augmented_text
JUDSUBETT19300005,"Invitation To Tender for the supply, design, development, configuration, installation, testing and commissioning of a Customer Relationship Management System and a Contact Centre System with an option for maintenance and professional services",Judiciary-State Courts,26/8/2019,Awarded to Suppliers,S & I SYSTEMS PTE LTD,"1,189,888.0",$1189888.01,Judiciary & Executive Bodies,"Status update: Awarded to Suppliers. Judiciary-State Courts, a prominent Judiciary & Executive Bodies organization, has launched Tender No. JUDSUBETT19300005 for Invitation To Tender for the supply, design, development, configuration, installation, testing and commissioning of a Customer Relationship Management System and a Contact Centre System with an option for maintenance and professional services. On 26/8/2019, S & I SYSTEMS PTE LTD secured the contract, which is valued at $1189888.01."
PMOSTGETT20300002,Provision of Consultancy Services to Study the Deployment of Network Connected Devices in Singapore,Prime Minister's Office - Strategy Group,14/10/2020,Awarded to Suppliers,ROLAND BERGER PTE. LTD.,"550,000.0",$550000,Judiciary & Executive Bodies,"Status update: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 14/10/2020 to ROLAND BERGER PTE. LTD. for $550000.0. With an aim to secure quality services, Prime Minister's Office - Strategy Group from Judiciary & Executive Bodies published Tender No. PMOSTGETT20300002 for Provision of Consultancy Services to Study the Deployment of Network Connected Devices in Singapore."
JUDSUPETT19300010,ITT For The Replacement/Upgrading Of Public Address System And Provision Of Comprehensive Maintenance Services For Security Systems/Equipment,Judiciary-Supreme Court,11/5/2020,Awarded by Items,ARROWCREST TECHNOLOGIES PTE LTD,"331,900.0",$331900,Judiciary & Executive Bodies,"Judiciary-Supreme Court, a prominent Judiciary & Executive Bodies organization, has launched Tender No. JUDSUPETT19300010 for ITT For The Replacement/Upgrading Of Public Address System And Provision Of Comprehensive Maintenance Services For Security Systems/Equipment. After a meticulous evaluation, no supplier was awarded as of 11/5/2020. This tender holds the status: Awarded by Items."
PMOCPIETT15000004,"PROVISION OF TRAINING VENUE, DINING PACKAGES AND HOTEL ACCOMMODATION",Prime Minister's Office-Corrupt Practices Investigation Bureau,30/6/2015,Awarded to Suppliers,COPTHORNE KING'S HOTEL SINGAPORE,324.5,$324.5,Judiciary & Executive Bodies,"On 30/6/2015, COPTHORNE KING'S HOTEL SINGAPORE secured the contract, which is valued at $324.5. Status update: Awarded to Suppliers. Prime Minister's Office-Corrupt Practices Investigation Bureau, a prominent Judiciary & Executive Bodies organization, has launched Tender No. PMOCPIETT15000004 for PROVISION OF TRAINING VENUE, DINING PACKAGES AND HOTEL ACCOMMODATION."
PMOHQ0ETT16000001,INVITATION TO TENDER FOR PROPOSED UPGRADING OF DIMMER SYSTEM AT ISTANA,Prime Minister's Office-Ministry Headquarter,22/6/2016,Awarded to Suppliers,KURIHARA KOGYO CO. LTD.,"85,000.0",$85000,Judiciary & Executive Bodies,"The current status of the tender is: Awarded to Suppliers. On 22/6/2016, KURIHARA KOGYO CO. LTD. secured the contract, which is valued at $85000.0. Prime Minister's Office-Ministry Headquarter (Judiciary & Executive Bodies) has issued Tender No. PMOHQ0ETT16000001 seeking submissions for INVITATION TO TENDER FOR PROPOSED UPGRADING OF DIMMER SYSTEM AT ISTANA."
AGC000ETT15000009,INVITATION TO TENDER (ITT) FOR THE PROVISION OF PRINTING AND/OR SCANNING SERVICES FOR THE ATTORNEY-GENERALS CHAMBERS,Attorney-General's Chambers,3/11/2015,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd,"996,648.0",$996648,Judiciary & Executive Bodies,"The current status of the tender is: Awarded to Suppliers. In a call for competitive bids, Attorney-General's Chambers (Judiciary & Executive Bodies) released Tender No. AGC000ETT15000009 regarding INVITATION TO TENDER (ITT) FOR THE PROVISION OF PRINTING AND/OR SCANNING SERVICES FOR THE ATTORNEY-GENERALS CHAMBERS. On 3/11/2015, Fuji Xerox Singapore Pte Ltd secured the contract, which is valued at $996648.0."
PMONRFETT20300003,"To provide renewal of software maintenance and support services for the Software Licenses for IGMS system hosted in GCC-Azure platform for up to 48 months, ranging from 1st Nov 2020 to 31st Oct 2024.",Prime Minister's Office - National Research Foundation,5/11/2020,Awarded to Suppliers,NCS PTE. LTD.,"774,789.0",$774789,Judiciary & Executive Bodies,"On 5/11/2020, NCS PTE. LTD. secured the contract, which is valued at $774789.0. Prime Minister's Office - National Research Foundation, a prominent Judiciary & Executive Bodies organization, has launched Tender No. PMONRFETT20300003 for To provide renewal of software maintenance and support services for the Software Licenses for IGMS system hosted in GCC-Azure platform for up to 48 months, ranging from 1st Nov 2020 to 31st Oct 2024.. This tender holds the status: Awarded to Suppliers."
JUDSUBETT16000007,INVITATION TO TENDER FOR THE PROVISION OF MAINTENANCE SERVICES FOR AUDIO VISUAL AND VIDEO CONFERENCING EQUIPMENT,Judiciary-State Courts,28/10/2016,Awarded to Suppliers,NETE2 ASIA PTE LTD,"422,883.0",$422883,Judiciary & Executive Bodies,"Following a thorough evaluation, the award was granted on 28/10/2016 to NETE2 ASIA PTE LTD for $422883.0. This tender holds the status: Awarded to Suppliers. Announcing Tender No. JUDSUBETT16000007, Judiciary-State Courts (Judiciary & Executive Bodies) invites proposals for INVITATION TO TENDER FOR THE PROVISION OF MAINTENANCE SERVICES FOR AUDIO VISUAL AND VIDEO CONFERENCING EQUIPMENT."
PMOEDEETT19300006,Invitation To Tender: ICT Infrastructure & Services for Election Department,Prime Minister's Office-Elections Department,13/12/2019,Awarded by Items,IT-DNS PTE. LTD.,"304,400.0",$304400,Judiciary & Executive Bodies,"With an aim to secure quality services, Prime Minister's Office-Elections Department from Judiciary & Executive Bodies published Tender No. PMOEDEETT19300006 for Invitation To Tender: ICT Infrastructure & Services for Election Department. Status update: Awarded by Items. After a meticulous evaluation, no supplier was awarded as of 13/12/2019."
CSC000ETT20300006,"INVITATION TO TENDER (ITT) FOR PERIOD CONTRACT FOR DESIGN, DEVELOPMENT AND FACILITATION OF ROBOTIC PROCESS AUTOMATION (RPA) TRAINING",Civil Service College,4/11/2020,Awarded by Items,ERNST & YOUNG ADVISORY PTE. LTD.,"125,250.0",$125250,Judiciary & Executive Bodies,"Tender status is recorded as 'Awarded by Items'. Civil Service College, a prominent Judiciary & Executive Bodies organization, has launched Tender No. CSC000ETT20300006 for INVITATION TO TENDER (ITT) FOR PERIOD CONTRACT FOR DESIGN, DEVELOPMENT AND FACILITATION OF ROBOTIC PROCESS AUTOMATION (RPA) TRAINING. As of 4/11/2020, the tender did not attract any qualifying bids, leaving it unawarded."
PMOHQ0ETT16000006,"INVITATION TO SUBMIT FOOD & SERVICES CATERING TENDER FOR NATIONAL DAY RALLY 2016 (Sunday 21 August, ITE College Central, Ang Mo Kio)",Prime Minister's Office-Ministry Headquarter,21/6/2016,Awarded to Suppliers,Marina Mandarin,"129,600.0",$129600,Judiciary & Executive Bodies,"Announcing Tender No. PMOHQ0ETT16000006, Prime Minister's Office-Ministry Headquarter (Judiciary & Executive Bodies) invites proposals for INVITATION TO SUBMIT FOOD & SERVICES CATERING TENDER FOR NATIONAL DAY RALLY 2016 (Sunday 21 August, ITE College Central, Ang Mo Kio). Following a thorough evaluation, the award was granted on 21/6/2016 to Marina Mandarin for $129600.0. This tender holds the status: Awarded to Suppliers."
AGC000ETT14000012,Invitation To Tender for The Provision of Integrated Facilities Management for The Attorney-General's Chambers at 1 Upper Pickering Street For Three (3) Years With An Option To Extend For Two (2) Years,Attorney-General's Chambers,9/3/2015,Awarded to Suppliers,PROPELL INTEGRATED PTE LTD,"1,747,000.0",$1747000,Judiciary & Executive Bodies,"With an aim to secure quality services, Attorney-General's Chambers from Judiciary & Executive Bodies published Tender No. AGC000ETT14000012 for Invitation To Tender for The Provision of Integrated Facilities Management for The Attorney-General's Chambers at 1 Upper Pickering Street For Three (3) Years With An Option To Extend For Two (2) Years. The contract was awarded on 9/3/2015 to PROPELL INTEGRATED PTE LTD with a value of $1747000.0. The current status of the tender is: Awarded to Suppliers."
PMONPSETT16000002,Provision Of Communications Consultancy Services,Prime Minister's Office - Strategy Group,1/6/2016,Awarded to Suppliers,RUDER FINN ASIA PTE LTD,"537,500.0",$537500,Judiciary & Executive Bodies,"Announcing Tender No. PMONPSETT16000002, Prime Minister's Office - Strategy Group (Judiciary & Executive Bodies) invites proposals for Provision Of Communications Consultancy Services. Status update: Awarded to Suppliers. The contract was awarded on 1/6/2016 to RUDER FINN ASIA PTE LTD with a value of $537500.0."
AGC000ETT19300006,"INVITATION TO TENDER FOR PROVISION OF CONSULTANCY SERVICES TO DEVELOP AN EXECUTIVE DEVELOPMENT ROADMAP, REVIEW AGC'S JOB FAMILIES AND COMPETENCY FRAMEWORK AND DESIGN AN AGILE ORGANISATION STRUCTURE",Attorney-General's Chambers,29/7/2019,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP,"580,000.0",$580000,Judiciary & Executive Bodies,"This tender holds the status: Awarded to Suppliers. The contract was awarded on 29/7/2019 to PRICEWATERHOUSECOOPERS LLP with a value of $580000.0. Announcing Tender No. AGC000ETT19300006, Attorney-General's Chambers (Judiciary & Executive Bodies) invites proposals for INVITATION TO TENDER FOR PROVISION OF CONSULTANCY SERVICES TO DEVELOP AN EXECUTIVE DEVELOPMENT ROADMAP, REVIEW AGC'S JOB FAMILIES AND COMPETENCY FRAMEWORK AND DESIGN AN AGILE ORGANISATION STRUCTURE."
PMOEDEETT16000001,"Provision of Integrated Facilities Management (IFM), to manage the properties of ELD HQ, ELD Training Centre and for the provision of cleaning services at the ELD Store.",Prime Minister's Office-Elections Department,27/10/2016,Awarded to Suppliers,CHEMICRETE ENTERPRISES PTE LTD,"2,587,822.0",$2587822,Judiciary & Executive Bodies,"Prime Minister's Office-Elections Department (Judiciary & Executive Bodies) has issued Tender No. PMOEDEETT16000001 seeking submissions for Provision of Integrated Facilities Management (IFM), to manage the properties of ELD HQ, ELD Training Centre and for the provision of cleaning services at the ELD Store.. This tender holds the status: Awarded to Suppliers. CHEMICRETE ENTERPRISES PTE LTD was chosen on 27/10/2016 to fulfill the tender with a total value of $2587822.0."
PMOHQ0ETT19300012,INVITATION TO TENDER FOR DESIGN AND REPLACEMENT OF UNDERGROUND WATER PIPES,Prime Minister's Office-Ministry Headquarter,5/8/2020,Awarded to Suppliers,UNION M&E PTE. LTD.,"523,000.0",$523000,Judiciary & Executive Bodies,"Announcing Tender No. PMOHQ0ETT19300012, Prime Minister's Office-Ministry Headquarter (Judiciary & Executive Bodies) invites proposals for INVITATION TO TENDER FOR DESIGN AND REPLACEMENT OF UNDERGROUND WATER PIPES. On 5/8/2020, UNION M&E PTE. LTD. secured the contract, which is valued at $523000.0. Status update: Awarded to Suppliers."
JUDSUPETT18300001,"Invitation to Tender for the supply, delivery and support of Products with an option for maintenance of software",Judiciary-Supreme Court,3/5/2018,Awarded to Suppliers,CRIMSONLOGIC PTE LTD,"1,215,710.0",$1215710,Judiciary & Executive Bodies,"On 3/5/2018, CRIMSONLOGIC PTE LTD secured the contract, which is valued at $1215710.0. In a call for competitive bids, Judiciary-Supreme Court (Judiciary & Executive Bodies) released Tender No. JUDSUPETT18300001 regarding Invitation to Tender for the supply, delivery and support of Products with an option for maintenance of software. This tender holds the status: Awarded to Suppliers."
PAR000ETT17000005,INVITATION TO TENDER FOR THE UPGRADING OF THE DIGITAL CONGRESS NETWORK (DCN) SYSTEM AND COMPREHENSIVE MAINTENANCE OF DIGITAL CONGRESS NETWORK (DCN) SYSTEM AND THE INTEGRATED AUDIO VISUAL SYSTEM AT PARLIAMENT HOUSE,Parliament,27/10/2017,Awarded to Suppliers,"TYCO FIRE, SECURITY & SERVICES PTE. LTD.","1,128,178.0",$1128178,Judiciary & Executive Bodies,"In a call for competitive bids, Parliament (Judiciary & Executive Bodies) released Tender No. PAR000ETT17000005 regarding INVITATION TO TENDER FOR THE UPGRADING OF THE DIGITAL CONGRESS NETWORK (DCN) SYSTEM AND COMPREHENSIVE MAINTENANCE OF DIGITAL CONGRESS NETWORK (DCN) SYSTEM AND THE INTEGRATED AUDIO VISUAL SYSTEM AT PARLIAMENT HOUSE. Status update: Awarded to Suppliers. The contract was awarded on 27/10/2017 to TYCO FIRE, SECURITY & SERVICES PTE. LTD. with a value of $1128178.0."
JUDSUPETT18300003,Invitation To Tender For Provision Of Project Management Services For The Design And Build Of The Judicial Heritage Gallery At The Supreme Court Building,Judiciary-Supreme Court,10/10/2018,Awarded to Suppliers,CESMA INTERNATIONAL PRIVATE LIMITED,"175,401.5",$175401.45,Judiciary & Executive Bodies,"Following a thorough evaluation, the award was granted on 10/10/2018 to CESMA INTERNATIONAL PRIVATE LIMITED for $175401.45. The current status of the tender is: Awarded to Suppliers. In a call for competitive bids, Judiciary-Supreme Court (Judiciary & Executive Bodies) released Tender No. JUDSUPETT18300003 regarding Invitation To Tender For Provision Of Project Management Services For The Design And Build Of The Judicial Heritage Gallery At The Supreme Court Building."
PMONRFETT17000004,"TENDER FOR THE PROVISION OF COMPREHENSIVE INTEGRATED CLEANING, PEST CONTROL & REFUSE DISPOSAL SERVICES TO CAMPUS FOR RESEARCH EXCELLENCE AND TECHNOLOGICAL ENTERPRISE (CREATE)",Prime Minister's Office - National Research Foundation,22/8/2017,Awarded to Suppliers,YS YONG SERVICES PTE LTD,"4,345,300.0",$4345300,Judiciary & Executive Bodies,"The current status of the tender is: Awarded to Suppliers. On 22/8/2017, YS YONG SERVICES PTE LTD secured the contract, which is valued at $4345300.0. Prime Minister's Office - National Research Foundation (Judiciary & Executive Bodies) has issued Tender No. PMONRFETT17000004 seeking submissions for TENDER FOR THE PROVISION OF COMPREHENSIVE INTEGRATED CLEANING, PEST CONTROL & REFUSE DISPOSAL SERVICES TO CAMPUS FOR RESEARCH EXCELLENCE AND TECHNOLOGICAL ENTERPRISE (CREATE)."
PAR000ETT16000012,"FOR THE PROVISION OF APPLICATION DEVELOPMENT AND MAINTENANCE SERVICES FOR SINGAPORE PARLIAMENT REPORTS SYSTEM 3 (SPRS3) WITH AN OPTION FOR SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING AND MAINTENANCE OF A FULLY OPERATIONAL DIGITAL AUDIO VIDEO RECORDING TRANSCRIPTION SYSTEM (DARTS)",Parliament,22/3/2017,Awarded to Suppliers,NIIT TECHNOLOGIES PTE. LTD.,"1,490,579.0",$1490579,Judiciary & Executive Bodies,"This tender holds the status: Awarded to Suppliers. Parliament (Judiciary & Executive Bodies) has issued Tender No. PAR000ETT16000012 seeking submissions for FOR THE PROVISION OF APPLICATION DEVELOPMENT AND MAINTENANCE SERVICES FOR SINGAPORE PARLIAMENT REPORTS SYSTEM 3 (SPRS3) WITH AN OPTION FOR SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING AND MAINTENANCE OF A FULLY OPERATIONAL DIGITAL AUDIO VIDEO RECORDING TRANSCRIPTION SYSTEM (DARTS). Following a thorough evaluation, the award was granted on 22/3/2017 to NIIT TECHNOLOGIES PTE. LTD. for $1490579.0."
IST000ETT17000002,Air-con Tentage Set Up For National Day Reception Party On 10 August 2017 at Istana,Istana,17/7/2017,Awarded to Suppliers,SENG HENG TENTAGE RENTALS PTE. LTD.,"152,800.0",$152800,Judiciary & Executive Bodies,"Status update: Awarded to Suppliers. SENG HENG TENTAGE RENTALS PTE. LTD. was chosen on 17/7/2017 to fulfill the tender with a total value of $152800.0. Announcing Tender No. IST000ETT17000002, Istana (Judiciary & Executive Bodies) invites proposals for Air-con Tentage Set Up For National Day Reception Party On 10 August 2017 at Istana."
CSC000ETT20300012,INVITATION TO TENDER (ITT) FOR THE PROVISION OF 'EVERY DOOR IS THE RIGHT DOOR' SIMULATION GAME AS A SERVICE FOR CIVIL SERVICE COLLEGE,Civil Service College,19/3/2021,Awarded to Suppliers,LIONFISH STUDIOS PTE. LTD.,"159,297.0",$159297,Judiciary & Executive Bodies,"With an aim to secure quality services, Civil Service College from Judiciary & Executive Bodies published Tender No. CSC000ETT20300012 for INVITATION TO TENDER (ITT) FOR THE PROVISION OF 'EVERY DOOR IS THE RIGHT DOOR' SIMULATION GAME AS A SERVICE FOR CIVIL SERVICE COLLEGE. LIONFISH STUDIOS PTE. LTD. was chosen on 19/3/2021 to fulfill the tender with a total value of $159297.0. This tender holds the status: Awarded to Suppliers."
PMOSTGETT20300001,Provision of Services for Media Monitoring and Compilation of Daily Media Reports,Prime Minister's Office - Strategy Group,21/4/2020,Awarded to Suppliers,INSIGHTMATRIX,"155,200.0",$155200,Judiciary & Executive Bodies,"In a call for competitive bids, Prime Minister's Office - Strategy Group (Judiciary & Executive Bodies) released Tender No. PMOSTGETT20300001 regarding Provision of Services for Media Monitoring and Compilation of Daily Media Reports. This tender holds the status: Awarded to Suppliers. INSIGHTMATRIX was chosen on 21/4/2020 to fulfill the tender with a total value of $155200.0."
PMOHQ0ETT20300001,INVITATION TO TENDER FOR COMPREHENSIVE MAINTENANCE OF KONE LIFT SYSTEMS FOR A PERIOD OF TWO (2) YEARS WITH OPTIONS TO EXTEND FOR ONE (1) PLUS ONE (1) YEAR,Prime Minister's Office-Ministry Headquarter,29/4/2020,Awarded to Suppliers,4U ELEVATOR PTE. LTD.,"66,990.0",$66990,Judiciary & Executive Bodies,"Prime Minister's Office-Ministry Headquarter, a prominent Judiciary & Executive Bodies organization, has launched Tender No. PMOHQ0ETT20300001 for INVITATION TO TENDER FOR COMPREHENSIVE MAINTENANCE OF KONE LIFT SYSTEMS FOR A PERIOD OF TWO (2) YEARS WITH OPTIONS TO EXTEND FOR ONE (1) PLUS ONE (1) YEAR. On 29/4/2020, 4U ELEVATOR PTE. LTD. secured the contract, which is valued at $66990.0. Tender status is recorded as 'Awarded to Suppliers'."
PMOPSDETT20300007,PROVISION OF MAINTENANCE OF SOFTWARE FOR MEDICAL CLAIMS PRO-RATION SYSTEM(MCPS),Prime Minister's Office-Public Service Division,10/11/2020,Awarded to Suppliers,TOPPAN ECQUARIA PTE. LTD.,"1,698,844.0",$1698844,Judiciary & Executive Bodies,"Status update: Awarded to Suppliers. In a call for competitive bids, Prime Minister's Office-Public Service Division (Judiciary & Executive Bodies) released Tender No. PMOPSDETT20300007 regarding PROVISION OF MAINTENANCE OF SOFTWARE FOR MEDICAL CLAIMS PRO-RATION SYSTEM(MCPS). On 10/11/2020, TOPPAN ECQUARIA PTE. LTD. secured the contract, which is valued at $1698844.0."
CSC000ETT16000020,Invitation to Tender for the Non-Comprehensive Maintenance and End-User Support Services for Audio-Visual (AV) Systems in Civil Service College for Two (2) Years with an Option to Extend for Another One (1) Year,Civil Service College,19/12/2016,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,"117,120.0",$117120,Judiciary & Executive Bodies,"The current status of the tender is: Awarded to Suppliers. In a call for competitive bids, Civil Service College (Judiciary & Executive Bodies) released Tender No. CSC000ETT16000020 regarding Invitation to Tender for the Non-Comprehensive Maintenance and End-User Support Services for Audio-Visual (AV) Systems in Civil Service College for Two (2) Years with an Option to Extend for Another One (1) Year. NEC ASIA PACIFIC PTE. LTD. was chosen on 19/12/2016 to fulfill the tender with a total value of $117120.0."
AGC000ETT19300004,ITT for the Provision of Maintenance Services for Existing Security Systems and Provision of Facial Recognition System and Self-Help Visitor Registration Kiosks for the Attorney-General Chambers,Attorney-General's Chambers,19/6/2019,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,"1,512,081.0",$1512081,Judiciary & Executive Bodies,"On 19/6/2019, CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD. secured the contract, which is valued at $1512081.0. In a call for competitive bids, Attorney-General's Chambers (Judiciary & Executive Bodies) released Tender No. AGC000ETT19300004 regarding ITT for the Provision of Maintenance Services for Existing Security Systems and Provision of Facial Recognition System and Self-Help Visitor Registration Kiosks for the Attorney-General Chambers. Status update: Awarded to Suppliers."
JUDSUPETT19300007,ITT For Provision Of Pest Control Services For The Supreme Court And Family Justice Courts For A Period Of Three (3) Years With An Option To Extend For Three (3) Years,Judiciary-Supreme Court,23/10/2019,Awarded to Suppliers,A-TEAM PEST CONTROL PTE. LTD.,"43,200.0",$43200,Judiciary & Executive Bodies,"With an aim to secure quality services, Judiciary-Supreme Court from Judiciary & Executive Bodies published Tender No. JUDSUPETT19300007 for ITT For Provision Of Pest Control Services For The Supreme Court And Family Justice Courts For A Period Of Three (3) Years With An Option To Extend For Three (3) Years. Following a thorough evaluation, the award was granted on 23/10/2019 to A-TEAM PEST CONTROL PTE. LTD. for $43200.0. Tender status is recorded as 'Awarded to Suppliers'."
CSC000ETT15000006,INVITATION TO TENDER FOR THE VENUE PACKAGE FOR PUBLIC SERVICE STAFF CONFERENCE 2015,Civil Service College,13/4/2015,Awarded to Suppliers,SINGEX VENUES PTE. LTD.,"83,550.0",$83550,Judiciary & Executive Bodies,Civil Service College (Judiciary & Executive Bodies) has issued Tender No. CSC000ETT15000006 seeking submissions for INVITATION TO TENDER FOR THE VENUE PACKAGE FOR PUBLIC SERVICE STAFF CONFERENCE 2015. The current status of the tender is: Awarded to Suppliers. The contract was awarded on 13/4/2015 to SINGEX VENUES PTE. LTD. with a value of $83550.0.
JUDSUBETT16000005,INVITATION TO TENDER FOR PROVISION OF COMPREHENSIVE MAINTENANCE AND SERVICING OF SECURITY SYSTEMS AT THE STATE COURTS FOR A PERIOD OF 3 YEARS (15 JUL 2016 to 14 JUL 2019) AND AN OPTION OF A 2-YEAR EXTENSION,Judiciary-State Courts,5/7/2016,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,"544,313.0",$544313,Judiciary & Executive Bodies,"Tender status is recorded as 'Awarded to Suppliers'. Announcing Tender No. JUDSUBETT16000005, Judiciary-State Courts (Judiciary & Executive Bodies) invites proposals for INVITATION TO TENDER FOR PROVISION OF COMPREHENSIVE MAINTENANCE AND SERVICING OF SECURITY SYSTEMS AT THE STATE COURTS FOR A PERIOD OF 3 YEARS (15 JUL 2016 to 14 JUL 2019) AND AN OPTION OF A 2-YEAR EXTENSION. On 5/7/2016, CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD. secured the contract, which is valued at $544313.0."
PMONRFETT17000003,Invitation to Tender (ITT) on GeBIZ for the provision of Term Consultancy Services at CREATE Campus for a contract period of 2 years with an option to extend another 2 years,Prime Minister's Office - National Research Foundation,17/11/2017,Awarded to Suppliers,DP ARCHITECTS PTE LTD.,"920,006.8",$920006.8,Judiciary & Executive Bodies,"Tender status is recorded as 'Awarded to Suppliers'. In a call for competitive bids, Prime Minister's Office - National Research Foundation (Judiciary & Executive Bodies) released Tender No. PMONRFETT17000003 regarding Invitation to Tender (ITT) on GeBIZ for the provision of Term Consultancy Services at CREATE Campus for a contract period of 2 years with an option to extend another 2 years. DP ARCHITECTS PTE LTD. was chosen on 17/11/2017 to fulfill the tender with a total value of $920006.8."
JUDSUBETT15000028,"Provision of corporate jackets, judicial robes and vests for the State Courts for the period of two years, with the option to extend for one year",Judiciary-State Courts,22/2/2016,Awarded to Suppliers,SWEETS CORPORATE UNIFORMS,"79,284.0",$79284,Judiciary & Executive Bodies,"The contract was awarded on 22/2/2016 to SWEETS CORPORATE UNIFORMS with a value of $79284.0. Announcing Tender No. JUDSUBETT15000028, Judiciary-State Courts (Judiciary & Executive Bodies) invites proposals for Provision of corporate jackets, judicial robes and vests for the State Courts for the period of two years, with the option to extend for one year. Tender status is recorded as 'Awarded to Suppliers'."
AGC000ETT15000008,Invitation To Tender For The Provision Of A Leadership Training and Development Programme For The Crime Cluster Divisions Of The Attorney-General's Chambers.,Attorney-General's Chambers,26/11/2015,Awarded to Suppliers,PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,"520,000.0",$520000,Judiciary & Executive Bodies,"The contract was awarded on 26/11/2015 to PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD. with a value of $520000.0. Attorney-General's Chambers, a prominent Judiciary & Executive Bodies organization, has launched Tender No. AGC000ETT15000008 for Invitation To Tender For The Provision Of A Leadership Training and Development Programme For The Crime Cluster Divisions Of The Attorney-General's Chambers.. The current status of the tender is: Awarded to Suppliers."
JUDSUPETT14000012,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF A FULLY OPERATIONAL AUDIO VISUAL SYSTEM SUPPORTING DIGITAL TRANSCRIPTION SYSTEM WITH AN OPTION FOR MAINTENANCE.",Judiciary-Supreme Court,13/1/2015,Awarded to Suppliers,ELECTRO-ACOUSTICS SYSTEMS PTE LTD,"1,995,964.0",$1995964,Judiciary & Executive Bodies,"ELECTRO-ACOUSTICS SYSTEMS PTE LTD was chosen on 13/1/2015 to fulfill the tender with a total value of $1995964.0. With an aim to secure quality services, Judiciary-Supreme Court from Judiciary & Executive Bodies published Tender No. JUDSUPETT14000012 for FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF A FULLY OPERATIONAL AUDIO VISUAL SYSTEM SUPPORTING DIGITAL TRANSCRIPTION SYSTEM WITH AN OPTION FOR MAINTENANCE.. This tender holds the status: Awarded to Suppliers."
TPO000ETT18300060,"TENDER FOR THE PROVISION OF TRAVEL RELATED SERVICES FOR STUDY TRIP TO SHANGHAI, SUZHOU, HANGZHOU, CHINA FOR SCHOOL OF BUSINESS, TEMASEK POLYTECHNIC. TENDER REFERENCE: TPO000/BUS/43/18",Temasek Polytechnic,3/1/2019,Awarded to Suppliers,GLOBAL INTERNATIONAL TRAVEL PTE. LTD.,"70,100.0",$70100,Educational & Research Institutions,"GLOBAL INTERNATIONAL TRAVEL PTE. LTD. was chosen on 3/1/2019 to fulfill the tender with a total value of $70100.0. Tender status is recorded as 'Awarded to Suppliers'. In a call for competitive bids, Temasek Polytechnic (Educational & Research Institutions) released Tender No. TPO000ETT18300060 regarding TENDER FOR THE PROVISION OF TRAVEL RELATED SERVICES FOR STUDY TRIP TO SHANGHAI, SUZHOU, HANGZHOU, CHINA FOR SCHOOL OF BUSINESS, TEMASEK POLYTECHNIC. TENDER REFERENCE: TPO000/BUS/43/18."
NTU000ETT16000136,Supply and Commissioning of one (1) unit of High Resolution X-ray Diffractometer (HRXRD) system with the capability to characterize the Aluminium Gallium Nitride (AlGaN) / Gallium Nitride (GaN) High Electron Mobility Transistors (HEMT) to Temasek Laboratories@NTU,Nanyang Technological University,3/11/2016,Awarded to Suppliers,SPECTRIS PTE LTD,"430,000.0",$430000,Educational & Research Institutions,"SPECTRIS PTE LTD was chosen on 3/11/2016 to fulfill the tender with a total value of $430000.0. In a call for competitive bids, Nanyang Technological University (Educational & Research Institutions) released Tender No. NTU000ETT16000136 regarding Supply and Commissioning of one (1) unit of High Resolution X-ray Diffractometer (HRXRD) system with the capability to characterize the Aluminium Gallium Nitride (AlGaN) / Gallium Nitride (GaN) High Electron Mobility Transistors (HEMT) to Temasek Laboratories@NTU. Tender status is recorded as 'Awarded to Suppliers'."
ITE000ETT16000053,"Term Contract for Preventive Non-Comprehensive Maintenance and Servicing of Lift & Escalator Systems at ITE College East for the period from 1 Jan 2017 to 31 Dec 2018, option to extend another 2 years from 1 Jan 2019 to 31 Dec 2020.",Institute of Technical Education,21/12/2016,Awarded to Suppliers,HITACHI ELEVATOR ASIA PTE. LTD.,"329,496.0",$329496,Educational & Research Institutions,"Institute of Technical Education (Educational & Research Institutions) has issued Tender No. ITE000ETT16000053 seeking submissions for Term Contract for Preventive Non-Comprehensive Maintenance and Servicing of Lift & Escalator Systems at ITE College East for the period from 1 Jan 2017 to 31 Dec 2018, option to extend another 2 years from 1 Jan 2019 to 31 Dec 2020.. The current status of the tender is: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 21/12/2016 to HITACHI ELEVATOR ASIA PTE. LTD. for $329496.0."
